id,section,category,topicEn,topicEs,difficulty,source,questionEn,questionEs,optionAEn,optionAEs,optionBEn,optionBEs,optionCEn,optionCEs,optionDEn,optionDEs,correctKey,explanationEn,explanationEs
Q1-0011,1,Regulation of Contractors,Classifications and specialties,las clasificaciones y especialidades,easy,DPOR / PSI,Which statement is most accurate about classifications and specialties?,¿Qué afirmación es más precisa sobre las clasificaciones y especialidades?,A classification only controls the contractor's office address.,Una clasificación solo controla la dirección de la oficina del contratista.,A classification matters only after the project is finished.,Una clasificación importa solo después de que el proyecto ha terminado.,A classification or specialty controls the kind of construction work the contractor is allowed to perform.,Una clasificación o especialidad controla el tipo de trabajo de construcción que el contratista puede realizar.,A specialty is used only for tax filing and not for scope of work.,Una especialidad se usa solo para declarar impuestos y no para el alcance del trabajo.,C,Virginia separates the class of license from the classification or specialty. The classification or specialty is what tells you what kind of work the business may perform.,Virginia separa la clase de licencia de la clasificación o especialidad. La clasificación o especialidad es lo que indica qué tipo de trabajo puede realizar la empresa.
Q1-0012,1,Regulation of Contractors,Classifications and specialties,las clasificaciones y especialidades,easy,DPOR / PSI,A contractor is reviewing classifications and specialties. Which answer is best?,Un contratista está revisando las clasificaciones y especialidades. ¿Cuál respuesta es la mejor?,A classification or specialty controls the kind of construction work the contractor is allowed to perform.,Una clasificación o especialidad controla el tipo de trabajo de construcción que el contratista puede realizar.,A classification only controls the contractor's office address.,Una clasificación solo controla la dirección de la oficina del contratista.,A classification matters only after the project is finished.,Una clasificación importa solo después de que el proyecto ha terminado.,A specialty is used only for tax filing and not for scope of work.,Una especialidad se usa solo para declarar impuestos y no para el alcance del trabajo.,A,Virginia separates the class of license from the classification or specialty. The classification or specialty is what tells you what kind of work the business may perform.,Virginia separa la clase de licencia de la clasificación o especialidad. La clasificación o especialidad es lo que indica qué tipo de trabajo puede realizar la empresa.
Q1-0013,1,Regulation of Contractors,Classifications and specialties,las clasificaciones y especialidades,easy,DPOR / PSI,"For a realistic exam scenario on classifications and specialties, which option is correct?","Para un escenario realista del examen sobre las clasificaciones y especialidades, ¿qué opción es correcta?",A classification or specialty controls the kind of construction work the contractor is allowed to perform.,Una clasificación o especialidad controla el tipo de trabajo de construcción que el contratista puede realizar.,A classification matters only after the project is finished.,Una clasificación importa solo después de que el proyecto ha terminado.,A specialty is used only for tax filing and not for scope of work.,Una especialidad se usa solo para declarar impuestos y no para el alcance del trabajo.,A classification only controls the contractor's office address.,Una clasificación solo controla la dirección de la oficina del contratista.,A,Virginia separates the class of license from the classification or specialty. The classification or specialty is what tells you what kind of work the business may perform.,Virginia separa la clase de licencia de la clasificación o especialidad. La clasificación o especialidad es lo que indica qué tipo de trabajo puede realizar la empresa.
Q1-0014,1,Regulation of Contractors,Classifications and specialties,las clasificaciones y especialidades,easy,DPOR / PSI,Which choice best matches sound practice regarding classifications and specialties?,¿Qué opción coincide mejor con una práctica correcta respecto de las clasificaciones y especialidades?,A classification only controls the contractor's office address.,Una clasificación solo controla la dirección de la oficina del contratista.,A classification or specialty controls the kind of construction work the contractor is allowed to perform.,Una clasificación o especialidad controla el tipo de trabajo de construcción que el contratista puede realizar.,A specialty is used only for tax filing and not for scope of work.,Una especialidad se usa solo para declarar impuestos y no para el alcance del trabajo.,A classification matters only after the project is finished.,Una clasificación importa solo después de que el proyecto ha terminado.,B,Virginia separates the class of license from the classification or specialty. The classification or specialty is what tells you what kind of work the business may perform.,Virginia separa la clase de licencia de la clasificación o especialidad. La clasificación o especialidad es lo que indica qué tipo de trabajo puede realizar la empresa.
Q1-0015,1,Regulation of Contractors,Classifications and specialties,las clasificaciones y especialidades,easy,DPOR / PSI,Which answer would be the safest compliance choice regarding classifications and specialties?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de las clasificaciones y especialidades?,A specialty is used only for tax filing and not for scope of work.,Una especialidad se usa solo para declarar impuestos y no para el alcance del trabajo.,A classification matters only after the project is finished.,Una clasificación importa solo después de que el proyecto ha terminado.,A classification or specialty controls the kind of construction work the contractor is allowed to perform.,Una clasificación o especialidad controla el tipo de trabajo de construcción que el contratista puede realizar.,A classification only controls the contractor's office address.,Una clasificación solo controla la dirección de la oficina del contratista.,C,Virginia separates the class of license from the classification or specialty. The classification or specialty is what tells you what kind of work the business may perform.,Virginia separa la clase de licencia de la clasificación o especialidad. La clasificación o especialidad es lo que indica qué tipo de trabajo puede realizar la empresa.
Q1-0016,1,Regulation of Contractors,Class A vs. Class B exam path,la ruta de examen Clase A vs. Clase B,easy,PSI Candidate Bulletin,Which statement is most accurate about the Class A and Class B business exam path?,¿Qué afirmación es más precisa sobre la ruta del examen de negocio Clase A y Clase B?,Class A and Class B both require only the Virginia portion.,La Clase A y la Clase B requieren solo la parte de Virginia.,Class A and Class B must each pass four portions including a field exam.,"La Clase A y la Clase B deben aprobar cuatro partes, incluido un examen de campo.",Class B must pass only the Advanced portion because it is shorter.,La Clase B debe aprobar solo la parte Avanzada porque es más corta.,"Class A requires passing the Virginia, General, and Advanced portions, while Class B requires the Virginia and General portions.","La Clase A requiere aprobar las partes de Virginia, General y Avanzada, mientras que la Clase B requiere las partes de Virginia y General.",D,The public PSI bulletin breaks the business exam into three parts. Class A requires all three parts; Class B requires only the first two.,El boletín público de PSI divide el examen de negocio en tres partes. La Clase A requiere las tres; la Clase B requiere solo las dos primeras.
Q1-0017,1,Regulation of Contractors,Class A vs. Class B exam path,la ruta de examen Clase A vs. Clase B,easy,PSI Candidate Bulletin,A contractor is reviewing the Class A and Class B business exam path. Which answer is best?,Un contratista está revisando la ruta del examen de negocio Clase A y Clase B. ¿Cuál respuesta es la mejor?,Class B must pass only the Advanced portion because it is shorter.,La Clase B debe aprobar solo la parte Avanzada porque es más corta.,Class A and Class B both require only the Virginia portion.,La Clase A y la Clase B requieren solo la parte de Virginia.,Class A and Class B must each pass four portions including a field exam.,"La Clase A y la Clase B deben aprobar cuatro partes, incluido un examen de campo.","Class A requires passing the Virginia, General, and Advanced portions, while Class B requires the Virginia and General portions.","La Clase A requiere aprobar las partes de Virginia, General y Avanzada, mientras que la Clase B requiere las partes de Virginia y General.",D,The public PSI bulletin breaks the business exam into three parts. Class A requires all three parts; Class B requires only the first two.,El boletín público de PSI divide el examen de negocio en tres partes. La Clase A requiere las tres; la Clase B requiere solo las dos primeras.
Q1-0018,1,Regulation of Contractors,Class A vs. Class B exam path,la ruta de examen Clase A vs. Clase B,easy,PSI Candidate Bulletin,"For a realistic exam scenario on the Class A and Class B business exam path, which option is correct?","Para un escenario realista del examen sobre la ruta del examen de negocio Clase A y Clase B, ¿qué opción es correcta?","Class A requires passing the Virginia, General, and Advanced portions, while Class B requires the Virginia and General portions.","La Clase A requiere aprobar las partes de Virginia, General y Avanzada, mientras que la Clase B requiere las partes de Virginia y General.",Class A and Class B must each pass four portions including a field exam.,"La Clase A y la Clase B deben aprobar cuatro partes, incluido un examen de campo.",Class B must pass only the Advanced portion because it is shorter.,La Clase B debe aprobar solo la parte Avanzada porque es más corta.,Class A and Class B both require only the Virginia portion.,La Clase A y la Clase B requieren solo la parte de Virginia.,A,The public PSI bulletin breaks the business exam into three parts. Class A requires all three parts; Class B requires only the first two.,El boletín público de PSI divide el examen de negocio en tres partes. La Clase A requiere las tres; la Clase B requiere solo las dos primeras.
Q1-0019,1,Regulation of Contractors,Class A vs. Class B exam path,la ruta de examen Clase A vs. Clase B,easy,PSI Candidate Bulletin,Which choice best matches sound practice regarding the Class A and Class B business exam path?,¿Qué opción coincide mejor con una práctica correcta respecto de la ruta del examen de negocio Clase A y Clase B?,Class A and Class B both require only the Virginia portion.,La Clase A y la Clase B requieren solo la parte de Virginia.,"Class A requires passing the Virginia, General, and Advanced portions, while Class B requires the Virginia and General portions.","La Clase A requiere aprobar las partes de Virginia, General y Avanzada, mientras que la Clase B requiere las partes de Virginia y General.",Class B must pass only the Advanced portion because it is shorter.,La Clase B debe aprobar solo la parte Avanzada porque es más corta.,Class A and Class B must each pass four portions including a field exam.,"La Clase A y la Clase B deben aprobar cuatro partes, incluido un examen de campo.",B,The public PSI bulletin breaks the business exam into three parts. Class A requires all three parts; Class B requires only the first two.,El boletín público de PSI divide el examen de negocio en tres partes. La Clase A requiere las tres; la Clase B requiere solo las dos primeras.
Q1-0020,1,Regulation of Contractors,Class A vs. Class B exam path,la ruta de examen Clase A vs. Clase B,easy,PSI Candidate Bulletin,Which answer would be the safest compliance choice regarding the Class A and Class B business exam path?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de la ruta del examen de negocio Clase A y Clase B?,"Class A requires passing the Virginia, General, and Advanced portions, while Class B requires the Virginia and General portions.","La Clase A requiere aprobar las partes de Virginia, General y Avanzada, mientras que la Clase B requiere las partes de Virginia y General.",Class A and Class B both require only the Virginia portion.,La Clase A y la Clase B requieren solo la parte de Virginia.,Class A and Class B must each pass four portions including a field exam.,"La Clase A y la Clase B deben aprobar cuatro partes, incluido un examen de campo.",Class B must pass only the Advanced portion because it is shorter.,La Clase B debe aprobar solo la parte Avanzada porque es más corta.,A,The public PSI bulletin breaks the business exam into three parts. Class A requires all three parts; Class B requires only the first two.,El boletín público de PSI divide el examen de negocio en tres partes. La Clase A requiere las tres; la Clase B requiere solo las dos primeras.
Q1-0021,1,Regulation of Contractors,Pre-license education,la educación previa a la licencia,easy,DPOR,Which statement is most accurate about pre-license education?,¿Qué afirmación es más precisa sobre la educación previa a la licencia?,Pre-license education is only required after the company has been licensed for one year.,La educación previa a la licencia solo se exige después de que la empresa haya tenido licencia por un año.,Completing pre-license education automatically waives every exam portion.,Completar la educación previa a la licencia elimina automáticamente todas las partes del examen.,Pre-license education is optional if the owner has construction experience.,La educación previa a la licencia es opcional si el dueño tiene experiencia en construcción.,Pre-license education is a separate requirement and does not replace the Class A or Class B business exam.,La educación previa a la licencia es un requisito separado y no reemplaza el examen de negocio de Clase A o Clase B.,D,Virginia treats pre-license education and the business examination as separate requirements for new contractor licenses.,Virginia trata la educación previa a la licencia y el examen de negocio como requisitos separados para nuevas licencias de contratista.
Q1-0022,1,Regulation of Contractors,Pre-license education,la educación previa a la licencia,easy,DPOR,A contractor is reviewing pre-license education. Which answer is best?,Un contratista está revisando la educación previa a la licencia. ¿Cuál respuesta es la mejor?,Pre-license education is only required after the company has been licensed for one year.,La educación previa a la licencia solo se exige después de que la empresa haya tenido licencia por un año.,Completing pre-license education automatically waives every exam portion.,Completar la educación previa a la licencia elimina automáticamente todas las partes del examen.,Pre-license education is a separate requirement and does not replace the Class A or Class B business exam.,La educación previa a la licencia es un requisito separado y no reemplaza el examen de negocio de Clase A o Clase B.,Pre-license education is optional if the owner has construction experience.,La educación previa a la licencia es opcional si el dueño tiene experiencia en construcción.,C,Virginia treats pre-license education and the business examination as separate requirements for new contractor licenses.,Virginia trata la educación previa a la licencia y el examen de negocio como requisitos separados para nuevas licencias de contratista.
Q1-0023,1,Regulation of Contractors,Pre-license education,la educación previa a la licencia,easy,DPOR,"For a realistic exam scenario on pre-license education, which option is correct?","Para un escenario realista del examen sobre la educación previa a la licencia, ¿qué opción es correcta?",Pre-license education is a separate requirement and does not replace the Class A or Class B business exam.,La educación previa a la licencia es un requisito separado y no reemplaza el examen de negocio de Clase A o Clase B.,Pre-license education is optional if the owner has construction experience.,La educación previa a la licencia es opcional si el dueño tiene experiencia en construcción.,Completing pre-license education automatically waives every exam portion.,Completar la educación previa a la licencia elimina automáticamente todas las partes del examen.,Pre-license education is only required after the company has been licensed for one year.,La educación previa a la licencia solo se exige después de que la empresa haya tenido licencia por un año.,A,Virginia treats pre-license education and the business examination as separate requirements for new contractor licenses.,Virginia trata la educación previa a la licencia y el examen de negocio como requisitos separados para nuevas licencias de contratista.
Q1-0024,1,Regulation of Contractors,Pre-license education,la educación previa a la licencia,easy,DPOR,Which choice best matches sound practice regarding pre-license education?,¿Qué opción coincide mejor con una práctica correcta respecto de la educación previa a la licencia?,Pre-license education is optional if the owner has construction experience.,La educación previa a la licencia es opcional si el dueño tiene experiencia en construcción.,Pre-license education is a separate requirement and does not replace the Class A or Class B business exam.,La educación previa a la licencia es un requisito separado y no reemplaza el examen de negocio de Clase A o Clase B.,Completing pre-license education automatically waives every exam portion.,Completar la educación previa a la licencia elimina automáticamente todas las partes del examen.,Pre-license education is only required after the company has been licensed for one year.,La educación previa a la licencia solo se exige después de que la empresa haya tenido licencia por un año.,B,Virginia treats pre-license education and the business examination as separate requirements for new contractor licenses.,Virginia trata la educación previa a la licencia y el examen de negocio como requisitos separados para nuevas licencias de contratista.
Q1-0025,1,Regulation of Contractors,Pre-license education,la educación previa a la licencia,easy,DPOR,Which answer would be the safest compliance choice regarding pre-license education?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de la educación previa a la licencia?,Pre-license education is a separate requirement and does not replace the Class A or Class B business exam.,La educación previa a la licencia es un requisito separado y no reemplaza el examen de negocio de Clase A o Clase B.,Completing pre-license education automatically waives every exam portion.,Completar la educación previa a la licencia elimina automáticamente todas las partes del examen.,Pre-license education is optional if the owner has construction experience.,La educación previa a la licencia es opcional si el dueño tiene experiencia en construcción.,Pre-license education is only required after the company has been licensed for one year.,La educación previa a la licencia solo se exige después de que la empresa haya tenido licencia por un año.,A,Virginia treats pre-license education and the business examination as separate requirements for new contractor licenses.,Virginia trata la educación previa a la licencia y el examen de negocio como requisitos separados para nuevas licencias de contratista.
Q1-0026,1,Regulation of Contractors,Class C business exam,el examen de negocio para Clase C,easy,PSI Candidate Bulletin,Which statement is most accurate about whether the business exam is required for Class C?,¿Qué afirmación es más precisa sobre si el examen de negocio es requerido para Clase C?,The business exam portions discussed for Class A and Class B are not required for a Class C license.,Las partes del examen de negocio tratadas para Clase A y Clase B no son requeridas para una licencia Clase C.,Class C must pass the same three business portions as Class A.,La Clase C debe aprobar las mismas tres partes de negocio que la Clase A.,Class C requires a business exam only after the first project is completed.,La Clase C requiere un examen de negocio solo después de completar el primer proyecto.,Class C must pass only the Advanced portion of the business exam.,La Clase C debe aprobar solo la parte Avanzada del examen de negocio.,A,The public business exam bulletin explicitly explains that the listed business portions are for Class A and Class B and are not required for Class C.,El boletín público del examen de negocio explica expresamente que las partes listadas son para Clase A y Clase B y no son requeridas para Clase C.
Q1-0027,1,Regulation of Contractors,Class C business exam,el examen de negocio para Clase C,easy,PSI Candidate Bulletin,A contractor is reviewing whether the business exam is required for Class C. Which answer is best?,Un contratista está revisando si el examen de negocio es requerido para Clase C. ¿Cuál respuesta es la mejor?,Class C requires a business exam only after the first project is completed.,La Clase C requiere un examen de negocio solo después de completar el primer proyecto.,Class C must pass the same three business portions as Class A.,La Clase C debe aprobar las mismas tres partes de negocio que la Clase A.,Class C must pass only the Advanced portion of the business exam.,La Clase C debe aprobar solo la parte Avanzada del examen de negocio.,The business exam portions discussed for Class A and Class B are not required for a Class C license.,Las partes del examen de negocio tratadas para Clase A y Clase B no son requeridas para una licencia Clase C.,D,The public business exam bulletin explicitly explains that the listed business portions are for Class A and Class B and are not required for Class C.,El boletín público del examen de negocio explica expresamente que las partes listadas son para Clase A y Clase B y no son requeridas para Clase C.
Q1-0028,1,Regulation of Contractors,Class C business exam,el examen de negocio para Clase C,easy,PSI Candidate Bulletin,"For a realistic exam scenario on whether the business exam is required for Class C, which option is correct?","Para un escenario realista del examen sobre si el examen de negocio es requerido para Clase C, ¿qué opción es correcta?",Class C must pass only the Advanced portion of the business exam.,La Clase C debe aprobar solo la parte Avanzada del examen de negocio.,Class C requires a business exam only after the first project is completed.,La Clase C requiere un examen de negocio solo después de completar el primer proyecto.,Class C must pass the same three business portions as Class A.,La Clase C debe aprobar las mismas tres partes de negocio que la Clase A.,The business exam portions discussed for Class A and Class B are not required for a Class C license.,Las partes del examen de negocio tratadas para Clase A y Clase B no son requeridas para una licencia Clase C.,D,The public business exam bulletin explicitly explains that the listed business portions are for Class A and Class B and are not required for Class C.,El boletín público del examen de negocio explica expresamente que las partes listadas son para Clase A y Clase B y no son requeridas para Clase C.
Q1-0029,1,Regulation of Contractors,Class C business exam,el examen de negocio para Clase C,easy,PSI Candidate Bulletin,Which choice best matches sound practice regarding whether the business exam is required for Class C?,¿Qué opción coincide mejor con una práctica correcta respecto de si el examen de negocio es requerido para Clase C?,Class C requires a business exam only after the first project is completed.,La Clase C requiere un examen de negocio solo después de completar el primer proyecto.,The business exam portions discussed for Class A and Class B are not required for a Class C license.,Las partes del examen de negocio tratadas para Clase A y Clase B no son requeridas para una licencia Clase C.,Class C must pass the same three business portions as Class A.,La Clase C debe aprobar las mismas tres partes de negocio que la Clase A.,Class C must pass only the Advanced portion of the business exam.,La Clase C debe aprobar solo la parte Avanzada del examen de negocio.,B,The public business exam bulletin explicitly explains that the listed business portions are for Class A and Class B and are not required for Class C.,El boletín público del examen de negocio explica expresamente que las partes listadas son para Clase A y Clase B y no son requeridas para Clase C.
Q1-0030,1,Regulation of Contractors,Class C business exam,el examen de negocio para Clase C,easy,PSI Candidate Bulletin,Which answer would be the safest compliance choice regarding whether the business exam is required for Class C?,¿Qué respuesta sería la opción de cumplimiento más segura respecto de si el examen de negocio es requerido para Clase C?,Class C requires a business exam only after the first project is completed.,La Clase C requiere un examen de negocio solo después de completar el primer proyecto.,Class C must pass only the Advanced portion of the business exam.,La Clase C debe aprobar solo la parte Avanzada del examen de negocio.,Class C must pass the same three business portions as Class A.,La Clase C debe aprobar las mismas tres partes de negocio que la Clase A.,The business exam portions discussed for Class A and Class B are not required for a Class C license.,Las partes del examen de negocio tratadas para Clase A y Clase B no son requeridas para una licencia Clase C.,D,The public business exam bulletin explicitly explains that the listed business portions are for Class A and Class B and are not required for Class C.,El boletín público del examen de negocio explica expresamente que las partes listadas son para Clase A y Clase B y no son requeridas para Clase C.
Q1-0031,1,Regulation of Contractors,Designated employee,el empleado designado,medium,Board for Contractors Regulations,Which statement is most accurate about the designated employee?,¿Qué afirmación es más precisa sobre el empleado designado?,The designated employee is one of the key individuals used to qualify the business for the required business examination path.,El empleado designado es una de las personas clave usadas para calificar a la empresa para la ruta requerida del examen de negocio.,The designated employee may never be associated with the licensed company.,El empleado designado nunca puede estar asociado con la empresa licenciada.,The designated employee is merely the newest laborer hired on the project.,El empleado designado es simplemente el obrero más reciente contratado para el proyecto.,The designated employee exists only for payroll tax withholding and has no licensing role.,El empleado designado existe solo para la retención de impuestos de nómina y no tiene función de licenciamiento.,A,"Virginia uses designated employees and qualified individuals as roles tied to qualification of the licensed business, not as casual jobsite titles.","Virginia usa empleados designados e individuos calificados como cargos ligados a la calificación de la empresa licenciada, no como títulos informales de obra."
